Date,Close,High,Low,Open,Volume
2025-02-27,54936.87890625,55717.50951237789,54839.30008048401,55132.03655778197,14975356
2025-02-28,53180.46484375,54351.41085865826,53180.46484375,54058.674354931194,28036698
2025-03-04,53180.46484375,53668.35901662844,52497.41300172019,52594.99183629587,18553933
2025-03-05,52692.56640625,54058.66997974537,52692.56640625,53765.93349971065,16578817
2025-03-06,52985.30078125,53180.45842685313,52692.5643128453,52790.14313564687,12258101
2025-03-07,52399.83203125,52887.72618424115,52107.09553945531,52204.67437005354,14274992
2025-03-10,52399.83203125,53473.19916783054,52204.67437005354,52204.67437005354,12921670
2025-03-11,52302.24609375,52790.14018044543,51228.87910302006,51228.87910302006,17740891
2025-03-12,53570.7734375,53961.088726662114,52302.24874772313,52497.40639230419,17973221
2025-03-13,53375.6171875,54546.563085580434,52887.72306329982,54448.9842607404,24132151
2025-03-14,53375.6171875,53765.93248686015,53082.88071297989,53180.45953781992,10845154
2025-03-17,56205.40625,56400.563910590274,54058.671983506945,54156.25081380208,35559021
2025-03-18,56205.40625,57571.509874131945,55912.66975911458,57376.352213541664,28138594
2025-03-19,57083.609375,57766.66111111111,56010.24236111111,56010.24236111111,29421759
2025-03-20,58742.453125,58840.03195078904,57083.61308658638,57766.66486710964,34989004
2025-03-21,60206.1328125,60206.1328125,58937.608134116694,59425.5022411872,40155612
2025-03-24,59035.19140625,60108.55852272727,59035.19140625,59718.24320764463,14088094
2025-03-25,58352.140625,59620.665421195656,58059.404133570235,59425.50776024247,17259455
2025-03-26,59913.40234375,59913.40234375,58254.56221371132,58352.141044890064,16431645
2025-03-27,60303.71484375,60498.87249696602,59327.9265776699,59425.50540427791,20389790
2025-03-28,59091.45703125,59974.88412972384,58895.13989825582,59582.249863735466,16282514
2025-03-31,56735.65234375,58600.66513705666,56735.65234375,58404.34800091912,17633494
2025-04-01,57717.2421875,58502.51078869047,56833.81501116072,57619.08361235119,13841706
